,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
767,421010113001-1800-foot,"39.97968960208176,-75.23697827402157",19070797.8594334,3.3555555555555556,False,22548.196338335852,0.0,7504.0,193,1.0120184872314204e-05
768,421010113001-600-car,"39.97968960208176,-75.23697827402157",199369406.92079434,3.602242152466368,True,109903.75711873363,0.0,8864.0,704,3.5311335418662593e-06
769,421010113001-1200-car,"39.97968960208176,-75.23697827402157",1057531947.8136473,3.6507467330429373,True,731754.8388052861,0.0,10496.0,2538,2.3999274965140184e-06
770,421010113001-1800-car,"39.97968960208176,-75.23697827402157",2961803389.163492,3.623889845094664,True,925205.4239874722,0.0,12160.0,2849,9.619139509475167e-07
771,421010113001-600-pt,"39.97968960208176,-75.23697827402157",1179099.7116863339,3.142857142857143,False,10308.899809842915,0.0,9776.0,17,1.4417779795473623e-05
772,421010113001-1200-pt,"39.97968960208176,-75.23697827402157",8095780.391554225,3.3550724637681157,False,14358.737716060474,0.0,7936.0,127,1.5687184416772276e-05
773,421010113001-1800-pt,"39.97968960208176,-75.23697827402157",30433050.709261537,3.357566765578635,True,30889.33961300407,0.0,8000.0,335,1.1007769257192844e-05
810,421010113003-600-foot,"39.977239652424366,-75.23629290842894",1673258.8567452447,3.15,False,6685.090220079439,0.0,8960.0,35,2.0917265645364985e-05
811,421010113003-1200-foot,"39.977239652424366,-75.23629290842894",7290406.0719385445,3.175438596491228,False,13629.075007512094,0.0,7536.0,103,1.412815678353729e-05
812,421010113003-1800-foot,"39.977239652424366,-75.23629290842894",18702309.798643783,3.3732876712328768,False,20896.00663185229,0.0,7264.0,208,1.112162092487011e-05
813,421010113003-600-car,"39.977239652424366,-75.23629290842894",208773997.70345217,3.6037514654161784,True,114185.68995500177,0.0,8736.0,753,3.606770997744557e-06
814,421010113003-1200-car,"39.977239652424366,-75.23629290842894",1085411885.2363105,3.6470520231213874,True,746047.7300098758,0.0,10560.0,2561,2.3594729658247955e-06
815,421010113003-1800-car,"39.977239652424366,-75.23629290842894",3019215929.6122746,3.6235730986109203,True,933806.1536283067,0.0,12192.0,2851,9.442848959683792e-07
816,421010113003-600-pt,"39.977239652424366,-75.23629290842894",1501228.114641443,3.0833333333333335,False,6685.090220079439,0.0,8936.0,27,1.798527468055629e-05
